Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,94.74,-3.07
1,86.84,-12.15
2,86.84,-17.8
3,81.58,-19.02
4,71.05,-18.85
5,71.05,-18.67
6,76.32,-18.63
7,71.05,-18.74
8,71.05,-19.01
9,71.05,-19.38
10,68.42,-19.79
11,68.42,-20.16
12,63.16,-20.44
13,60.53,-20.55
14,57.89,-20.55
15,55.26,-20.61
16,55.26,-21.09
17,52.63,-22.66
18,47.37,-26.29
19,47.37,-32.87
20,39.47,-41.94
21,39.47,-51.09
22,36.84,-57.95
23,34.21,-62.12
24,36.84,-64.43
25,34.21,-66.18
26,34.21,-68.03
27,31.58,-69.32
28,31.58,-69.52
29,23.68,-68.57
30,23.68,-66.71
31,26.32,-64.65
32,23.68,-62.2
33,26.32,-58.14
34,26.32,-50.93
35,23.68,-39.51
36,23.68,-25.6
37,26.32,-13.3
38,26.32,-5.09
39,26.32,-0.7
40,28.95,1.12
41,28.95,1.48
42,28.95,1.23
43,28.95,0.88
44,26.32,0.59
45,23.68,0.4
46,21.05,0.35
47,21.05,0.47
48,21.05,0.43
49,21.05,-0.94
50,18.42,-5.75
51,13.16,-15.55
52,13.16,-28.86
53,13.16,-40.68
54,13.16,-47.09
55,15.79,-48.3
56,13.16,-46.21
57,13.16,-42.62
58,13.16,-38.69
59,13.16,-34.37
60,15.79,-29.63
61,15.79,-25.75
62,13.16,-24.77
63,13.16,-26.47
64,13.16,-27.92
65,13.16,-28.43
66,15.79,-29.21
67,15.79,-30.79
68,15.79,-33.16
69,15.79,-36.18
70,10.53,-39.72
71,10.53,-43.63
72,10.53,-47.8
73,13.16,-52.13
74,13.16,-56.5
75,13.16,-60.75
76,13.16,-64.71
77,13.16,-68.23
78,13.16,-71.22
79,13.16,-73.64
80,13.16,-75.54
81,13.16,-76.95
82,13.16,-77.81
83,10.53,-78.2
84,10.53,-78.21
85,10.53,-77.78
86,10.53,-76.64
87,7.89,-74.43
88,7.89,-70.9
89,10.53,-65.94
90,7.89,-59.8
91,5.26,-52.81
92,5.26,-45.16
93,5.26,-36.98
94,5.26,-28.46
95,5.26,-19.92
96,5.26,-11.66
97,7.89,-4.15
98,7.89,1.81
99,7.89,5.53
